source,participant_ID,target_word,comment,latency,duree_mot,condition,n_phonemes,Offset,Notes,word_duration,transcript,phoneme_count
s101balai_neut_bmpnaming,s101,balai,ok,641.043,319.1724109,neut,5,953,FALSE,311.957,bal,3
s101balai_ov2_bmpnaming,s101,balai,ok,540.249,374.8360794,ov2,5,887,FALSE,346.751,bal,3
s101balance_neut_bmpnaming,s101,balance,ok,929.848,608.7256221,neut,7,1508,FALSE,578.152,balɑ̃s,5
s101balance_ov2_bmpnaming,s101,balance,ok,742.938,634.2594149,ov2,7,1343,FALSE,600.062,balɑ̃s,5
s101barriere_neut_bmpnaming,s101,barriere,ok,944.696,518.7581242,neut,8,1442,FALSE,497.304,baʀʀjəʀ,7
s101barriere_ov2_bmpnaming,s101,barriere,ok,961.033,622.9359991,ov2,8,1562,FALSE,600.967,baʀʀjəʀ,7
s101batterie_neut_bmpnaming,s101,batterie,ok,1070.519,443.2666443,neut,8,1505,FALSE,434.481,batəʀi,6
s101batterie_ov2_bmpnaming,s101,batterie,ok,740.597,397.3058171,ov2,8,1141,FALSE,400.403,batəʀi,6
s101bougie_neut_bmpnaming,s101,bougie,ok,892.645,306.4055145,neut,6,1186,FALSE,293.355,buʒi,4
s101bougie_ov2_bmpnaming,s101,bougie,ok,727.298,403.1576557,ov2,6,1126,FALSE,398.702,buʒi,4
s101bouton_neut_bmpnaming,s101,bouton,ok,891.919,431.0104237,neut,6,1305,FALSE,413.081,butɔ̃,4
s101bouton_ov2_bmpnaming,s101,bouton,ok,792.845,446.3306994,ov2,6,1222,FALSE,429.155,butɔ̃,4
s101briquet_neut_bmpnaming,s101,briquet,ok,869.999,397.3058171,neut,7,1254,FALSE,384.001,bʀikɛ,5
s101briquet_ov2_bmpnaming,s101,briquet,ok,693.319,482.0780094,ov2,7,1154,FALSE,460.681,bʀikɛ,5
s101bureau_neut_bmpnaming,s101,bureau,ok,1104.454,257.2920852,neut,6,1357,FALSE,252.546,byʀo,4
s101bureau_ov2_bmpnaming,s101,bureau,ok,756.167,350.3236382,ov2,6,1092,FALSE,335.833,byʀo,4
s101cadeau_neut_bmpnaming,s101,cadeau,ok,725.99,342.1528245,neut,6,1048,FALSE,322.01,kado,4
s101cadeau_ov2_bmpnaming,s101,cadeau,ok,1325.519,312.5336247,ov2,6,1628,FALSE,302.481,kado,4
s101canard_neut_bmpnaming,s101,canard,ok,872.591,472.4717372,neut,6,1324,FALSE,451.409,kanaʀ,5
s101canard_ov2_bmpnaming,s101,canard,ok,677.095,454.5015131,ov2,6,1106,FALSE,428.905,kanaʀ,5
s101canon_neut_bmpnaming,s101,canon,ok,747.099,311.512273,neut,5,1045,FALSE,297.901,kanɔ̃,4
s101canon_ov2_bmpnaming,s101,canon,ok,815.526,269.6368527,ov2,5,1083,FALSE,267.474,kanɔ̃,4
s101cerveau_neut_bmpnaming,s101,cerveau,ok,631.124,439.1812374,neut,7,1060,FALSE,428.876,sɛʀvo,5
s101cerveau_ov2_bmpnaming,s101,cerveau,ok,762.875,410.5833894,ov2,7,1154,FALSE,391.125,sɛʀvo,5
s101chapeau_neut_bmpnaming,s101,chapeau,ok,1075.872,432.0317754,neut,7,1500,FALSE,424.128,ʃapo,4
s101chapeau_ov2_bmpnaming,s101,chapeau,ok,789.867,480.035306,ov2,7,1248,FALSE,458.133,ʃapo,4
s101chaussette_neut_bmpnaming,s101,chaussette,ok,792.461,580.0392271,neut,10,1277,FALSE,484.539,ʃosɛt,5
s101chaussette_ov2_bmpnaming,s101,chaussette,ok,838.804,579.7970097,ov2,10,1368,FALSE,529.196,ʃosɛt,5
s101chaussure_ov2_bmpnaming,s101,chaussure,ok,809.739,598.856535,ov2,9,1380,FALSE,570.261,ʃosyʀ,5
s101cheval_neut_bmpnaming,s101,cheval,ok,775.477,451.2432882,neut,6,1224,FALSE,448.523,ʃəval,5
s101cheval_ov2_bmpnaming,s101,cheval,ok,717.847,444.9414544,ov2,6,1145,FALSE,427.153,ʃəval,5
